"query","total"
"HDX-MS[TIAB] OR HDX Mass Spectrometry[TIAB] OR Hydrogen-Deuterium Exchange Mass Spectrometry[TIAB] OR Hydrogen-Deuterium Exchange MS[TIAB] OR Hydrogen/Deuterium Exchange Mass Spectrometry[TIAB] OR Hydrogen/Deuterium Exchange MS[TIAB]",853
"proteomics[TIAB]",45078
